Name,IP,ERA-
Ryan Rolison,42.1,147
Garrett Crochet,205.1,61
Michael McGreevy,95.2,107
Grant Wolfram,26.2,134
Calvin Faucher,60.1,77
Shawn Dubin,33.2,125
Sandy Alcantara,174.2,126
Tim Mayza,16.2,88
Jason Alexander,77.1,116
Andrew Kittredge,53,83
George Kirby,126,110
Daniel Lynch IV,67.2,72
Bubba Chandler,31.1,94
Carson Seymour,36,116
Kris Bubic,116.1,61
Yimi García,21,95
Alex Jackson,1,669
Shane Bieber,40.1,88
Jake Rogers,3.2,60
Jovani Morán,4,158
Luis F. Castillo,7,201
Cody Bolton,2,333
Cody Laweryson,7.2,28
Luis Ortiz,88.2,108
Caleb Boushley,43.1,149
Chris Bassitt,170.1,97
Gregory Soto,60.1,103
Dietrich Enns,46.1,100
Michael Kopech,11,59
Bryan Hoeing,8,83
Jake Woodford,36.1,152
Angel Chivilli,58.2,147
Spencer Bivens,81,97
Noah Davis,11,432
José Alvarado,26,89
Hoby Milner,70.1,95
Adrian Houser,125,80
Cole Sulser,22.2,48
Andrew Chafin,33.2,57
Griffin Canning,76.1,93
Connor Thomas,5.1,485
Luke Jackson,51,101
Scott Alexander,17.2,129
Hunter Brown,185.1,60
Max Meyer,64.2,111
Javier Assad,37,88
Seth Halvorsen,39.2,104
Phil Maton,61.1,68
José Suarez,19.1,44
Luinder Avila,14,30
Ryan Thompson,41.1,92
Brennan Bernardino,51.2,73
Sean Guenther,10.1,127
Chase Silseth,11,39
Mike Vasil,101,61
Ryan Brasier,26,109
Emmanuel Clase,47.1,80
Yoshinobu Yamamoto,173.2,59
Anthony Veneziano,25,110
Gordon Graceffo,43,153
Bryce Elder,156.1,125
Braxton Ashcraft,69.2,63
Brant Hurter,63,59
Justin Martinez,15.1,97
Tyler Holton,78.2,89
Cooper Criswell,17.2,84
Colin Selby,14,80
Brock Burke,61.2,81
Brad Lord,130.2,103
Joey Lucchesi,38.1,91
Gavin Hollowell,9.1,117
Jordan Wicks,14.1,152
Chris Murphy,34.2,73
Parker Messick,39.2,67
Jake Bird,55.1,119
Nathan Eovaldi,130,43
George Soriano,36.2,196
Sean Newcomb,92.1,64
Randy Dobnak,5.1,41
Hunter Dobbins,61,97
Jorge López,24.2,156
Reid Detmers,63.2,95
Andrew Alvarez,23.1,55
JoJo Romero,61,50
Brayan Bello,166.2,78
Spencer Schwellenbach,110.2,73
Juan Morillo,34.1,99
Andrés Muñoz,62.1,45
J.T. Ginn,90.1,121
Victor Vodnik,50.2,63
Drey Jameson,3,71
Hayden Harris,2.2,80
Matt Gage,31,78
Dan Altavilla,29,60
Corbin Martin,18,149
Tyler Phillips,77.2,65
Brad Keller,69.2,50
Jared Shuster,15.2,196
Kumar Rocker,64.1,142
Jack Kochanowicz,111,164
Eduardo Salazar,29,199
Corbin Burnes,64.1,63
Tucker Barnhart,2,334
Angel Perdomo,3.1,128
Stephen Kolek,112.2,86
Sean Hjelle,15,190
Carmen Mlodzinski,99,83
Erik Miller,30,37
Tanner Houck,43.2,188
Max Fried,195.1,71
Adrian Morejon,73.2,51
Brett de Geus,2,105
Luis Mey,21,78
Quinn Priester,157.1,79
Colin Holderman,25.2,164
Lucas Erceg,61.1,63
Hurston Waldrep,56.1,68
Richard Lovelady,11.2,209
Ryan Pressly,41.1,105
Austin Hedges,3,148
Abraham Toro,1,422
Ryan Borucki,35,108
Jonathan Loáisiga,29.2,105
Griffin Jax,66,102
Matt Brash,47.1,65
Blake Snell,61.1,56
Reynaldo López,5,128
Logan Gillaspie,7,63
Caleb Ferguson,65.1,87
Luis García,55.1,82
Dylan Smith,13,34
Josh Simpson,30.2,172
Camilo Doval,65.1,88
Clay Holmes,165.2,87
Kody Funderburk,41,85
Ryan Walker,61.1,100
Carlos Vargas,77,104
Tommy Henry,6.2,95
Cristian Mena,6.2,32
Justin Wrobleski,66.2,103
Cade Gibson,54.2,62
Yennier Cano,58,127
Josh Winckowski,11.2,90
Julian Merryweather,18.2,140
Taylor Rashi,16.1,104
Kade Strowd,26.1,42
Abner Uribe,75.1,40
Cade Cavalli,48.2,101
Scott Effross,10.2,208
Grant Taylor,36.2,120
Will Vest,68.2,73
Lyon Richardson,37.2,103
Travis Jankowski,1,442
Amed Rosario,1,856
Tom Cosgrove,4,54
Matt Waldron,4.2,190
Brady Basso,11.2,55
Justin Bruihl,13.2,129
Justin Topa,60,94
Logan Webb,207,78
Tayler Saucedo,13.1,194
Nolan McLean,48,51
Cionel Pérez,21.2,206
Louis Varland,72.2,73
Wandy Peralta,71.2,78
Brenan Hanifee,60,73
Nate Eaton,1,0
Cole Wilcox,1,653
Sam Bachman,20.1,150
Joe Rock,7.2,57
Jordan Hicks,67.1,167
Brandon Sproat,20.2,118
David Peterson,168.2,104
Cristopher Sánchez,202,58
Bailey Horn,11.1,39
Tyler Heineman,3.1,796
Tim Hill,67,76
Trevor McDonald,15,44
Freddy Tarnok,7.1,58
Brendon Little,68.1,74
Andre Pallante,162.2,129
Tommy Nance,31.2,49
José Castillo,32,95
Andry Lara,14.1,209
Aaron Ashby,66.2,52
Angel Zerpa,64.2,99
Owen White,7,219
Luis Vázquez,4.1,0
Rolddy Muñoz,3.2,290
Framber Valdez,192,90
Manuel Rodríguez,30.1,50
T.J. McFarland,15.2,164
Graham Ashcraft,65.1,90
Will Klein,15.1,56
Gregory Santos,7,134
Brandyn Garcia,14.1,135
John King,48.1,113
Jose A. Ferrer,76.1,106
Riley O'Brien,48,50
Aaron Bummer,54.1,90
Tyler Wade,1,222
Logan Porter,1,219
Dom Hamel,1,0
Trey Yesavage,14,79
Rowdy Tellez,2,334
Gerson Garabito,8,223
Leo Rivas,1,0
Oswald Peraza,2.1,745
Willie MacIver,2,0
Jhoan Duran,70,49
Tyler Rogers,77.1,48
Yerry De los Santos,35.2,81
Tyler Owens,3,73
Nathan Wiles,1,639
Isaiah Campbell,7.2,165
Jake Palisch,1,438
José Soriano,169,103
Tanner Rainey,9.2,263
Zach Pop,6.2,382
Evan Phillips,5.2,0
Austin Pope,2,0
Nick Burdi,5.1,0
Touki Toussaint,2,217
Niko Kavadas,1.2,0
Garrett McDaniels,10.2,143
Jose Herrera,2,106
Jesse Hahn,5,141
Danny Young,8.1,106
Austin Slater,0.2,0
José Quijada,1.1,0
Zach McKinstry,0.1,0
Alan Trejo,1,0
Nolan Hoffman,1,631
Jonathan Pintaro,0.2,664
